variables,units,values,description
floatingse.member1.shear_load2stress,m**2,"[[0.5610426  0.5610426  0.         0.         0.         0.05531257]
 [0.5610426  0.5610426  0.         0.         0.         0.05531257]
 [0.5610426  0.5610426  0.         0.         0.         0.05531257]
 [0.5610426  0.5610426  0.         0.         0.         0.05531257]
 [0.5610426  0.5610426  0.         0.         0.         0.05531257]
 [0.5610426  0.5610426  0.         0.         0.         0.05531257]]",
floatingse.member1.constr_d_to_t,,"[166.66666667 166.66666667 166.66666667 166.66666667 166.66666667
 166.66666667]",
floatingse.member1.constr_taper,,[1. 1. 1. 1. 1. 1.],
floatingse.member1.slope,,[1. 1. 1. 1. 1. 1.],
floatingse.member1.nu_full,,[0.26103405 0.26103405 0.26103405 0.26103405 0.26103405 0.26103405],
floatingse.member1.shell_cost,USD,[1893815.78387739],
floatingse.member1.shell_mass,kg,[793930.89013075],
floatingse.member1.shell_z_cg,m,[17.5],
floatingse.member1.shell_I_base,kg*m**2,"[3.39509948e+08 3.39509948e+08 3.06430032e+07 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
floatingse.member1.bulkhead_mass,kg,[278453.17433738],
floatingse.member1.bulkhead_z_cg,m,[10.9375],
floatingse.member1.bulkhead_cost,USD,[246228.82650005],
floatingse.member1.bulkhead_I_base,kg*m**2,"[91554925.13073625 91554925.13073625  5308796.78535908        0.
        0.                0.        ]",
floatingse.member1.stiffener_mass,kg,[0.],
floatingse.member1.stiffener_z_cg,m,[0.],
floatingse.member1.stiffener_cost,USD,[0.],
floatingse.member1.stiffener_I_base,kg*m**2,[0. 0. 0. 0. 0. 0.],
floatingse.member1.flange_spacing_ratio,,[0.],
floatingse.member1.stiffener_radius_ratio,,"[-9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
floatingse.member1.constr_flange_compactness,,[0.],
floatingse.member1.constr_web_compactness,,[0.],
floatingse.member1.ballast_cost,USD,[2595000.],
floatingse.member1.ballast_mass,kg,[2595000.],
floatingse.member1.ballast_height,,[0.05 0.  ],
floatingse.member1.ballast_z_cg,m,[0.875],
floatingse.member1.ballast_I_base,kg*m**2,"[11061854.33782747 11061854.33782747 19983694.31408004        0.
        0.                0.        ]",
floatingse.member1.variable_ballast_capacity,m**3,[1467.43841937],
floatingse.member1.variable_ballast_Vpts,m**3,"[   0.          163.04871326  326.09742653  489.14613979  652.19485305
  815.24356631  978.29227958 1141.34099284 1304.3897061  1467.43841937]",
floatingse.member1.variable_ballast_spts,,"[0.05       0.08888889 0.12777778 0.16666667 0.20555556 0.24444444
 0.28333333 0.32222222 0.36111111 0.4       ]",
floatingse.member1.constr_ballast_capacity,,[2.47574273 0.        ],
floatingse.member1.total_mass,kg,[3667384.06446813],
floatingse.member1.total_cost,USD,[4735044.61037744],
floatingse.member1.structural_mass,kg,[1072384.06446813],
floatingse.member1.structural_cost,USD,[2140044.61037744],
floatingse.member1.z_cg,m,[5.23806529],
floatingse.member1.I_total,kg*m**2,"[3.41503508e+08 3.41503508e+08 5.59354943e+07 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
floatingse.member1.center_of_mass,m,[-5.17500000e+01  1.85771789e-07 -1.47619347e+01],
floatingse.member1.nodes_r,m,"[ 6.250e+00  6.250e+00  6.250e+00  6.250e+00  6.250e+00  6.250e+00
  6.250e+00  6.250e+00  6.250e+00  6.250e+00  6.250e+00  6.250e+00
  6.250e+00 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member1.section_D,m,"[   12.5    12.5    12.5    12.5    12.5    12.5    12.5    12.5    12.5
    12.5    12.5    12.5 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.  -9999.
 -9999.  -9999. ]",
floatingse.member1.section_t,m,"[ 6.250e+00  7.500e-02  6.250e+00  6.250e+00  7.500e-02  7.500e-02
  7.500e-02  6.250e+00  7.500e-02  7.500e-02  7.500e-02  6.250e+00
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member1.section_A,m**2,"[ 1.22718463e+02  2.92757165e+00  1.22718463e+02  1.22718463e+02
  2.92757165e+00  2.92757165e+00  2.92757165e+00  1.22718463e+02
  2.92757165e+00  2.92757165e+00  2.92757165e+00  1.22718463e+02
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
floatingse.member1.section_Asx,m**2,"[ 1.09157305e+02  1.78239585e+00  1.09157305e+02  1.09157305e+02
  1.78239585e+00  1.78239585e+00  1.78239585e+00  1.09157305e+02
  1.78239585e+00  1.78239585e+00  1.78239585e+00  1.09157305e+02
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
floatingse.member1.section_Asy,m**2,"[ 1.09157305e+02  1.78239585e+00  1.09157305e+02  1.09157305e+02
  1.78239585e+00  1.78239585e+00  1.78239585e+00  1.09157305e+02
  1.78239585e+00  1.78239585e+00  1.78239585e+00  1.09157305e+02
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
floatingse.member1.section_Ixx,kg*m**2,"[ 1198.42249054    56.49710116  1198.42249054  1198.42249054
    56.49710116    56.49710116    56.49710116  1198.42249054
    56.49710116    56.49710116    56.49710116  1198.42249054
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
